"","Distance","Type","avgPrice","count"
"394",31.7,"h",491244.031830239,377
"395",31.7,"t",496000,5
"396",31.7,"u",382857.142857143,7
"397",32.3,"h",665136.363636364,11
"398",32.3,"u",560000,1
"399",33,"h",630000,1
"400",33.3,"h",531738.888888889,18
"401",33.3,"t",325000,1
"402",33.8,"h",647500,6
"403",34.1,"h",601358.333333333,48
"404",34.1,"t",495000,1
"405",34.1,"u",398000,1
"406",34.6,"h",1080000,3
"407",34.7,"h",586806.514285714,70
"408",34.7,"u",347250,2
"409",34.9,"h",518454.545454545,55
"410",34.9,"u",476333.333333333,3
"411",35.2,"h",797157.608695652,92
"412",35.2,"t",6e+05,1
"413",35.2,"u",665000,1
"414",35.4,"h",710805,100
"415",35.4,"t",598404.545454545,11
"416",35.4,"u",487625,12
"417",35.5,"h",556000,6
"418",36.9,"h",503242.857142857,35
"419",37.5,"h",447200,10
"420",38,"h",754834.484149856,347
"421",38,"t",594382.352941177,17
"422",38,"u",402641.428571429,35
"423",39,"h",644333.333333333,6
"424",39,"u",537000,1
"425",39.8,"h",716666.666666667,3
"426",41,"h",606685.185185185,27
"427",41,"u",393250,4
"428",42.1,"h",397000,1
"429",43.3,"h",567000,5
"430",43.4,"h",633000,3
"431",44.2,"h",536413.793103448,29
"432",44.2,"u",415000,1
"433",45.2,"h",817625,8
"434",45.9,"h",733470.588235294,85
"435",45.9,"u",590000,1
"436",47.3,"h",508286.666666667,30
"437",47.4,"h",772107.142857143,14
"438",48.1,"h",732115.384615385,13
"439",49.3,"h",455000,1
"440",55.8,"h",450000,1
